Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,casecost (product.metafields.custom.casecost),caseqty (product.metafields.custom.caseqty),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Flavor (product.metafields.shopify.flavor),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
original-v8-340ml,ORIGINAL  -  V8  -  340ML,"",ORIGINAL,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'063211012927,340.0,,0,deny,manual,1.99,,true,false,,,,,'063211012927,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/063211012927.png?v=1734163764,1,original-v8-340ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
original-v8-340ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/063211012927_b.png?v=1734163765,2,original-v8-340ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pakola-250ml,PAKOLA 250ML,"",PAKOLA,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'8964000660928,250.0,,0,deny,manual,1.49,,true,true,,,,,'8964000660928,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/8964000660928.png?v=1734163765,1,pakola-250ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
pakola-250ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/8964000660928_b.png?v=1734163765,2,pakola-250ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fanta-300ml,FANTA 300ML,"",FANTA,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'8901764021251,300.0,,-6,deny,manual,1.99,,true,true,,,,,'8901764021251,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/8901764021251_fe8d8947-fa17-4365-aa89-6abbfccffc0d.png?v=1734163766,1,fanta-300ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
fanta-300ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/8901764021251_b.png?v=1734163767,2,fanta-300ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
starbucks-frappuccino-405ml,STARBUCKS  -  FRAPPUCCINO  -  405ML,"",STARBUCKS,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'069000147689,405.0,,-1,deny,manual,3.99,,true,false,,,,,'069000147689,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/069000147689.png?v=1734163767,1,starbucks-frappuccino-405ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
starbucks-frappuccino-405ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/069000147689_b.png?v=1734163767,2,starbucks-frappuccino-405ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
starbucks-frapp-mocha-405ml,STARBUCKS  -  FRAPP MOCHA  -  405ML,"",STARBUCKS,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'069000147702,405.0,,-1,deny,manual,3.99,,true,false,,,,,'069000147702,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/069000147702.png?v=1734163768,1,starbucks-frapp-mocha-405ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
starbucks-frapp-mocha-405ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/069000147702_b.png?v=1734163768,2,starbucks-frapp-mocha-405ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
starbucks-frapp-caramel-405ml,STARBUCKS  -  FRAPP CARAMEL  -  405ML,"",STARBUCKS,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'069000148969,405.0,,0,deny,manual,3.99,,true,false,,,,,'069000148969,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/069000148969.png?v=1734163769,1,starbucks-frapp-caramel-405ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
starbucks-frapp-caramel-405ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/069000148969_b.png?v=1734163769,2,starbucks-frapp-caramel-405ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropicqal-orange-473ml,TROPICAL  -  ORANGE  -  473ML,"",TROPICAL,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'686234123014,473.0,,0,deny,manual,2.49,,true,true,,,,,'686234123014,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/686234123014.png?v=1734163770,1,tropicqal-orange-473ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
tropicqal-orange-473ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/686234123014_b.png?v=1734163770,2,tropicqal-orange-473ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical-apple-473ml,TROPICAL  -  APPLE  -  473ML,"",TROPICAL,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'686234123021,473.0,,0,deny,manual,2.49,,true,false,,,,,'686234123021,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/686234123021.png?v=1734163771,1,tropical-apple-473ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
tropical-apple-473ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/686234123021_b.png?v=1734163771,2,tropical-apple-473ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical-punch-nd-fruits-473ml,TROPICAL  -  PUNCH ND FRUITS  -  473ML,"",TROPICAL,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'686234123151,473.0,,0,deny,manual,2.49,,true,false,,,,,'686234123151,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/686234123151.png?v=1734163772,1,tropical-punch-nd-fruits-473ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
tropical-punch-nd-fruits-473ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/686234123151_b.png?v=1734163772,2,tropical-punch-nd-fruits-473ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical-guava-473ml,TROPICAL  -  GUAVA  -  473ML,"",TROPICAL,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'686234223387,473.0,,0,deny,manual,2.49,,true,false,,,,,'686234223387,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/686234223387.png?v=1734163773,1,tropical-guava-473ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
tropical-guava-473ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/686234223387_b.png?v=1734163773,2,tropical-guava-473ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nestea-lemon-500ml,NESTEA  -  LEMON  -  500ML,"",NESTEA,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'083900006266,500.0,,0,deny,manual,3.48,,true,false,,,,,'083900006266,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/083900006266.png?v=1734163774,1,nestea-lemon-500ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
nestea-lemon-500ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/083900006266_b.png?v=1734163774,2,nestea-lemon-500ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
origina-citrus-420ml,ORIGINA  -  CITRUS  -  420ML,"",ORIGINA,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'849819001071,420.0,,0,deny,manual,2.99,,true,false,,,,,'849819001071,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/849819001071.png?v=1734163774,1,origina-citrus-420ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
origina-citrus-420ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/849819001071_b.png?v=1734163775,2,origina-citrus-420ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arizona-green-tea-680ml,ARIZONA  -  GREEN TEA  -  680ML,"",ARIZONA,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'613008766733,680.0,,0,deny,manual,1.99,,true,false,,,,,'613008766733,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/613008766733.png?v=1734163775,1,arizona-green-tea-680ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
arizona-green-tea-680ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/613008766733_b.png?v=1734163775,2,arizona-green-tea-680ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arizone-mucho-mango-680ml,ARIZONE  -  MUCHO MANGO  -  680ML,"",ARIZONE,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'613008766764,680.0,,0,deny,manual,1.99,,true,false,,,,,'613008766764,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/613008766764.png?v=1734163776,1,arizone-mucho-mango-680ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
arizone-mucho-mango-680ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/613008766764_b.png?v=1734163776,2,arizone-mucho-mango-680ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glaceau-v-w-lemonade-591ml,GLACEAU  -  V W LEMONADE  -  591ML,"",GLACEAU,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'786162650078,591.0,,0,deny,manual,2.29,,true,false,,,,,'786162650078,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/786162650078.png?v=1734163777,1,glaceau-v-w-lemonade-591ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
glaceau-v-w-lemonade-591ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/786162650078_b.png?v=1734163777,2,glaceau-v-w-lemonade-591ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropik-splash-mango-473ml,TROPICAL  -  SPLASH MANGO  -  473ML,"",TROPICAL,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'026595786815,473.0,,0,deny,manual,2.49,,true,false,,,,,'026595786815,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/026595786815.png?v=1734163778,1,tropik-splash-mango-473ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
tropik-splash-mango-473ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/026595786815_b.png?v=1734163778,2,tropik-splash-mango-473ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snaplle-mango-473ml,SNAPLLE  -  MANGO  -  473ML,"",SNAPLLE,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'076183004388,473.0,,0,deny,manual,1.99,,true,false,,,,,'076183004388,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/076183004388.png?v=1734163779,1,snaplle-mango-473ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
snaplle-mango-473ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/076183004388_b.png?v=1734163779,2,snaplle-mango-473ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical-kiwi-473ml,TROPICAL  -  KIWI  -  473ML,"",TROPICAL,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'686234123182,473.0,,0,deny,manual,2.49,,true,false,,,,,'686234123182,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/686234123182.png?v=1734163780,1,tropical-kiwi-473ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
tropical-kiwi-473ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/686234123182_b.png?v=1734163780,2,tropical-kiwi-473ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical-lemon-473ml,TROPICAL  -  LEMON  -  473ML,"",TROPICAL,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'686234123236,473.0,,-4,deny,manual,2.49,,true,false,,,,,'686234123236,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/686234123236.png?v=1734163781,1,tropical-lemon-473ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
tropical-lemon-473ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/686234123236_b.png?v=1734163782,2,tropical-lemon-473ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prime-strawberry-drink-500ml,PRIME  -  STRAWBERRY DRINK  -  500ML,"",PRIME,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'810116120376,500.0,,0,deny,manual,2.99,,true,false,,,,,'810116120376,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/810116120376.png?v=1734163783,1,prime-strawberry-drink-500ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
prime-strawberry-drink-500ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/810116120376_b.png?v=1734163783,2,prime-strawberry-drink-500ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prime-blue-raspbery-drink-500m,PRIME-BLUE-RASPBERY-DRINK-500M,"",PRIYA,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'810116120352,0.0,,0,deny,manual,2.99,,true,false,,,,,'810116120352,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/810116120352.png?v=1734163784,1,prime-blue-raspbery-drink-500m,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
prime-blue-raspbery-drink-500m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/810116120352_b.png?v=1734163785,2,prime-blue-raspbery-drink-500m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gatorade-cool-blue-591ml,GATORADE  -  COOL BLUE  -  591ML,"",GATORADE,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'055577420270,591.0,,0,deny,manual,1.99,,true,true,,,,,'055577420270,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/055577420270.png?v=1734163786,1,gatorade-cool-blue-591ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
gatorade-cool-blue-591ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/055577420270_b.png?v=1734163786,2,gatorade-cool-blue-591ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gatorade-orange-591ml,GATORADE  -  ORANGE  -  591ML,"",GATORADE,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'055577420249,591.0,,0,deny,manual,1.99,,true,true,,,,,'055577420249,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/055577420249.png?v=1734163787,1,gatorade-orange-591ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
gatorade-orange-591ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/055577420249_b.png?v=1734163787,2,gatorade-orange-591ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gatorade-lemon-591ml,GATORADE  -  LEMON  -  591ML,"",GATORADE,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'055577420232,591.0,,0,deny,manual,1.99,,true,true,,,,,'055577420232,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/055577420232.png?v=1734163789,1,gatorade-lemon-591ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
gatorade-lemon-591ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/055577420232_b.png?v=1734163789,2,gatorade-lemon-591ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g2-fruit-punch-591ml,G2  -  FRUIT PUNCH  -  591ML,"",G2,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'055577420935,591.0,,0,deny,manual,1.99,,true,false,,,,,'055577420935,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/055577420935.png?v=1734163790,1,g2-fruit-punch-591ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
g2-fruit-punch-591ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/055577420935_b.png?v=1734163790,2,g2-fruit-punch-591ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coca-cola-500ml,COCA  -  COLA  -  500ML,"",COCA,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'06746209,500.0,,-2,deny,manual,2.99,,true,true,,,,,'06746209,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/06746209.png?v=1734163791,1,coca-cola-500ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
coca-cola-500ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/06746209_b.png?v=1734163791,2,coca-cola-500ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pepsi-591ml,PEPSI 591ML,"",PEPSI,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'069000009918,591.0,,0,deny,manual,2.99,,true,true,,,,,'069000009918,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/069000009918.png?v=1734163792,1,pepsi-591ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
pepsi-591ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/069000009918_b.png?v=1734163792,2,pepsi-591ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pop-shoppe-orange-355ml,POP  -  SHOPPE ORANGE  -  355ML,"",POP SHOPPE,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'180009000055,355.0,,-1,deny,manual,1.99,,true,false,,,,,'180009000055,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/180009000055.png?v=1734163793,1,pop-shoppe-orange-355ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
pop-shoppe-orange-355ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/180009000055_b.png?v=1734163793,2,pop-shoppe-orange-355ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pop-shoppe-cotton-candy-355ml,POP  -  SHOPPE COTTON CANDY  -  355ML,"",POP SHOPPE,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'180009000338,355.0,,0,deny,manual,1.99,,true,false,,,,,'180009000338,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/180009000338.png?v=1734163794,1,pop-shoppe-cotton-candy-355ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
pop-shoppe-cotton-candy-355ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/180009000338_b.png?v=1734163794,2,pop-shoppe-cotton-candy-355ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pop-shoppe-pineapple-355ml,POP  -  SHOPPE PINEAPPLE  -  355ML,"",POP SHOPPE,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'180009000079,355.0,,0,deny,manual,1.99,,true,true,,,,,'180009000079,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/180009000079.png?v=1734163800,1,pop-shoppe-pineapple-355ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
pop-shoppe-pineapple-355ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/180009000079_b.png?v=1734163800,2,pop-shoppe-pineapple-355ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taza-basil-drink-passion-fruit,TAZA BASIL DRINK PASSION FRUIT,"",TAZA,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'628451506683,0.0,,-1,deny,manual,2.29,,true,false,,,,,'628451506683,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/628451506683.png?v=1734163801,1,taza-basil-drink-passion-fruit,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
taza-basil-drink-passion-fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/628451506683_b.png?v=1734163801,2,taza-basil-drink-passion-fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taza-mango-basil-drink-300ml,TAZA  -  MANGO BASIL DRINK  -  300ML,"",TAZA,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'628451506652,300.0,shopify,5697,deny,manual,2.29,,true,false,,,,,'628451506652,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/628451506652.png?v=1734163801,1,taza-mango-basil-drink-300ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
taza-mango-basil-drink-300ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/628451506652_b.png?v=1734163802,2,taza-mango-basil-drink-300ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taza-p0megranate-basildrink290,TAZA P0MEGRANATE BASILDRINK290,"",TAZA,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'628451506713,0.0,shopify,6398,deny,manual,2.29,,true,false,,,,,'628451506713,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/628451506713.png?v=1734163802,1,taza-p0megranate-basildrink290,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
taza-p0megranate-basildrink290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/628451506713_b.png?v=1734163802,2,taza-p0megranate-basildrink290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taza-straw-basil-drink-290ml,TAZA  -  STRAW BASIL DRINK  -  290ML,"",TAZA,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'628451506836,290.0,shopify,691,deny,manual,2.29,,true,false,,,,,'628451506836,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/628451506836.png?v=1734163803,1,taza-straw-basil-drink-290ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
taza-straw-basil-drink-290ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/628451506836_b.png?v=1734163803,2,taza-straw-basil-drink-290ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparkling-ice-orange,SPARKLING ICE ORANGE,"",SPARKLING,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'016571911232,0.0,,0,deny,manual,1.99,,true,false,,,,,'016571911232,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/016571911232.png?v=1734163804,1,sparkling-ice-orange,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
sparkling-ice-orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/016571911232_b.png?v=1734163804,2,sparkling-ice-orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grace-coconut-water-500ml,GRACE  -  COCONUT WATER  -  500ML,"",GRACE,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'055270833773,500.0,,-4,deny,manual,2.99,,true,false,,,,,'055270833773,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/055270833773.png?v=1734163804,1,grace-coconut-water-500ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
grace-coconut-water-500ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/055270833773_b.png?v=1734163805,2,grace-coconut-water-500ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naya-spring-water-600ml,NAYA  -  SPRING WATER  -  600ML,"",NAYA,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'057379600119,600.0,,0,deny,manual,0.99,,true,false,,,,,'057379600119,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/057379600119.png?v=1734163805,1,naya-spring-water-600ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
naya-spring-water-600ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/057379600119_b.png?v=1734163805,2,naya-spring-water-600ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aquafine-water-591ml,AQUAFINE  -  WATER  -  591ML,"",AQUAFINE,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'069000061015,591.0,,0,deny,manual,1.69,,true,false,,,,,'069000061015,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/069000061015.png?v=1734163806,1,aquafine-water-591ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
aquafine-water-591ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/069000061015_b.png?v=1734163806,2,aquafine-water-591ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nestle-a-water-500ml,NESTLE  -  A WATER  -  500ML,"",NESTLE,,"",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'068274000218,500.0,,-10,deny,manual,0.99,,true,true,,,,,'068274000218,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/068274000218.png?v=1734163807,1,nestle-a-water-500ml,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
nestle-a-water-500ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/6404/9692/files/068274000218_b.png?v=1734163807,2,nestle-a-water-500ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
